City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Port,-7.0349,29.7638,69.87,77,72,4.74,CD,1647664495
George Town,5.4112,100.3354,91.33,70,20,9.22,MY,1647664470
Vallenar,-28.5708,-70.7581,71.49,39,0,1.03,CL,1647664515
Kruisfontein,-34.0033,24.7314,65.01,89,100,1.72,ZA,1647664515
San,13.3034,-4.8956,79.9,15,15,9.17,ML,1647664516
Marsa,35.8792,14.4953,57.27,88,75,28.77,MT,1647664516
Sisimiut,66.9395,-53.6735,-7.19,97,100,4.23,GL,1647664516
Kagoro,9.6,8.3833,70.12,17,97,4.81,NG,1647664517
Alexandria,31.2156,29.9553,55.36,67,40,9.22,EG,1647664517
Sao,20.5113,76.2129,91.31,13,42,6.2,IN,1647664517
Kindu,-2.95,25.95,66.45,90,12,1.92,CD,1647664517
Malanje,-9.5402,16.341,64.58,95,100,1.92,AO,1647664518
Bunia,1.5667,30.25,68.94,51,6,3.31,CD,1647664518
Lavrentiya,65.5833,-171.0,-9.6,86,1,7.94,RU,1647664518
Raudeberg,61.9875,5.1352,42.87,73,65,25.99,NO,1647664518
Millinocket,45.6573,-68.7098,35.71,87,75,0.0,US,1647664519
Maragogi,-9.0122,-35.2225,77.4,76,34,3.89,BR,1647664519
Kholm,59.2667,32.85,25.38,93,5,3.6,RU,1647664494
Cape,-36.413,-71.9028,60.22,30,100,5.99,CL,1647664519
Hasaki,35.7333,140.8333,64.29,50,69,6.29,JP,1647664330
Avarua,-21.2078,-159.775,82.45,69,88,5.75,CK,1647664520
Kaeo,-35.1,173.7833,66.87,85,72,9.08,NZ,1647664521
Molagavita,6.6732,-72.8087,54.95,80,95,4.79,CO,1647664521
Miranda,3.2499,-76.2281,66.33,92,62,3.83,CO,1647664521
Mossamedes,-15.1961,12.1522,72.23,68,89,9.24,AO,1647664522
San,13.3034,-4.8956,79.9,15,15,9.17,ML,1647664516
Santarém,-2.4431,-54.7083,73.53,100,75,3.44,BR,1647664522
Uyuni,-20.4597,-66.825,50.47,64,43,11.16,BO,1647664522
Laas,46.6166,10.7002,38.28,96,99,1.48,IT,1647664522
Carroll,39.5501,-77.0164,61.47,77,100,10.36,US,1647664523
Orcopampa,-15.2661,-72.3417,47.7,77,93,2.08,PE,1647664523
Sao,20.5113,76.2129,91.31,13,42,6.2,IN,1647664523
Yulara,-25.2406,130.9889,96.64,17,40,5.75,AU,1647664524
Aklavik,68.2191,-135.0107,-13.85,90,85,8.88,CA,1647664524
Mar,43.4002,-4.0094,55.27,58,0,3.44,ES,1647664524
Saskylakh,71.9167,114.0833,17.15,94,100,11.1,RU,1647664524
Pyapon,16.2833,95.6833,94.73,29,49,8.63,MM,1647664524
Saldanha,-33.0117,17.9442,60.85,79,24,7.67,ZA,1647664525
Kiryat Gat,31.61,34.7642,54.39,100,32,5.73,IL,1647664525
Lagoa,39.05,-27.9833,52.88,58,99,28.88,PT,1647664525
Flin,48.4982,6.6557,39.99,82,0,12.44,FR,1647664525
Sinnamary,5.3833,-52.95,77.54,86,89,8.97,GF,1647664525
Ruteng,-8.6136,120.4721,68.07,86,97,2.37,ID,1647664526
Lunenburg,44.3835,-64.3155,47.05,78,87,4.61,CA,1647664526
Rio,38.3,21.7833,44.51,58,16,18.37,GR,1647664298
Mudu,31.252,120.5118,51.73,67,99,12.35,CN,1647664526
Hamilton,39.1834,-84.5333,61.43,80,100,11.5,US,1647664527
Constantine,36.365,6.6147,47.61,93,75,2.3,DZ,1647664527
Wajid,3.8093,43.2471,80.58,50,71,14.79,SO,1647664527
Nauta,-4.5061,-73.5757,72.66,98,100,0.36,PE,1647664528
Buala,-8.145,159.5921,84.18,70,84,4.47,SB,1647664528
Gaza,31.5,34.4667,52.88,73,13,8.41,PS,1647664528
Mkushi,-13.6202,29.3939,64.17,98,100,3.49,ZM,1647664528
Yumen,40.2833,97.2,45.91,28,96,15.7,CN,1647664528
Carnarvon,-24.8667,113.6333,84.27,51,0,17.27,AU,1647664529
Tuktoyaktuk,69.4541,-133.0374,-9.4,77,100,13.8,CA,1647664529
Tekeli,44.83,78.8239,28.33,79,98,3.38,KZ,1647664530
Peruíbe,-24.32,-46.9983,76.73,85,99,4.25,BR,1647664530
Luwuk,-0.9516,122.7875,82.71,83,100,1.81,ID,1647664530
Léo,11.1,-2.1,86.83,30,94,1.74,BF,1647664531
Thinadhoo,0.5333,72.9333,83.1,75,88,17.22,MV,1647664531
Dingle,10.9995,122.6711,91.99,48,94,10.38,PH,1647664531
Kirakira,-10.4544,161.9205,82.09,76,100,4.81,SB,1647664531
Alofi,-19.0595,-169.9187,84.09,74,95,8.05,NU,1647664532
Geraldton,-28.7667,114.6,90.01,37,100,18.41,AU,1647664233
Kokoda,-8.8785,147.7407,86.34,67,49,4.56,PG,1647664533
Saint-Augustin,51.226,-58.6502,18.64,81,65,12.12,CA,1647664533
Tura,25.5198,90.2201,92.12,21,20,5.66,IN,1647664533
Ishigaki,24.3448,124.1572,71.73,68,75,13.8,JP,1647664286
Cabo,-8.2833,-35.0333,76.93,87,41,5.61,BR,1647664534
Port,-7.0349,29.7638,69.87,77,72,4.74,CD,1647664495
Airai,-8.9266,125.4092,72.25,78,72,1.14,TL,1647664534
Arraial,-22.8362,-46.646,67.35,88,62,2.75,BR,1647664534
Baruun-Urt,46.6806,113.2792,30.42,23,53,14.92,MN,1647664535
Searcy,35.2506,-91.7363,46.98,74,100,9.22,US,1647664535
Pudozh,61.8099,36.5345,21.74,97,98,4.23,RU,1647664535
Port,-7.0349,29.7638,69.87,77,72,4.74,CD,1647664495
Tiarei,-17.5333,-149.3333,84.22,72,2,14.07,PF,1647664535
Mbengwi,6.0167,10.0,66.09,47,69,3.0,CM,1647664536
Yangi Marg`ilon,40.4272,71.7189,38.12,87,100,6.91,UZ,1647664536
Buraidah,26.326,43.975,52.25,14,0,11.74,SA,1647664468
Khanbari,27.3747,87.2039,86.29,26,57,6.29,NP,1647664537
Deputatsky,69.3,139.9,-0.58,91,16,2.24,RU,1647664537
Peace,48.3083,38.0721,19.67,82,6,9.31,UA,1647664537
Palmer,42.1584,-72.3287,57.61,68,75,5.75,US,1647664538
Hay-on-wye,52.0705,-3.1274,42.71,98,7,7.58,GB,1647664346
Balkanabat,39.5108,54.3671,44.96,39,47,17.31,TM,1647664538
Maningrida,-12.0667,134.2667,90.81,53,100,5.46,AU,1647664538
Hofn,64.2539,-15.2082,37.78,93,100,4.45,IS,1647664538
Constitución,-35.3333,-72.4167,59.9,47,100,7.63,CL,1647664539
Khatanga,71.9667,102.5,15.46,95,82,8.61,RU,1647664539
San,13.3034,-4.8956,79.9,15,15,9.17,ML,1647664506
Hithadhoo,-0.6,73.0833,83.93,69,94,16.87,MV,1647664539
Chapais,49.7834,-74.8492,17.38,91,71,4.68,CA,1647664540
Havre-St-Pierre,50.2334,-63.5986,28.4,39,0,14.97,CA,1647664540
Saint Paul Harbor,57.79,-152.4072,35.11,80,100,20.71,US,1647664540
Camocim,-2.9022,-40.8411,75.34,92,75,7.27,BR,1647664540
Aplahoué,6.9333,1.6833,78.58,87,64,5.32,BJ,1647664541
Nioki,-2.7167,17.6833,70.66,96,99,2.55,CD,1647664541
Chara,56.9064,118.2631,1.96,65,61,1.86,RU,1647664541
Port,-7.0349,29.7638,69.87,77,72,4.74,CD,1647664542
ban,20.0173,104.6053,92.77,41,19,2.24,LA,1647664542
Thompson,55.7435,-97.8558,28.56,80,40,0.0,CA,1647664542
Ostrovnoy,68.0531,39.5131,28.09,79,7,20.29,RU,1647664543
Hermanus,-34.4187,19.2345,68.81,90,12,9.17,ZA,1647664543
Torbay,47.6666,-52.7314,38.75,98,100,12.66,CA,1647664543
Brigantine,39.4101,-74.3646,54.03,99,100,8.05,US,1647664544
Kushmurun,52.4503,64.6311,1.51,90,54,4.25,KZ,1647664544
Aras,42.5617,-2.356,37.81,100,26,4.61,ES,1647664544
Sambava,-14.2667,50.1667,79.56,84,100,3.29,MG,1647664544
Esperance,-33.8667,121.9,67.84,78,100,17.67,AU,1647664544
Bubaque,11.2833,-15.8333,76.21,60,2,9.4,GW,1647664545
Petropavlovsk-Kamchatskiy,53.0452,158.6483,34.39,69,75,4.47,RU,1647664483
Coyhaique,-45.5752,-72.0662,39.15,81,0,3.44,CL,1647664545
Jaqué,7.5175,-78.1703,78.37,87,70,2.68,PA,1647664545
Port,-7.0349,29.7638,69.87,77,72,4.74,CD,1647664542
Mount,53.6597,-1.8537,45.55,92,16,6.2,GB,1647664546
Wanning,18.8003,110.3967,81.66,75,100,7.16,CN,1647664546
Esmeraldas,-19.7625,-44.3139,72.46,94,10,3.42,BR,1647664546
Fort,52.6517,6.3861,40.17,84,0,11.21,NL,1647664546
Nantucket,41.2835,-70.0995,42.94,98,100,11.5,US,1647664547
Sandwick,60.0,-1.25,46.22,81,93,17.27,GB,1647664547
Santa,17.486,120.4348,88.02,79,66,10.78,PH,1647664547
Kaitangata,-46.2817,169.8464,61.02,66,53,13.6,NZ,1647664547
Inhambane,-23.865,35.3833,74.07,67,80,8.23,MZ,1647664548
Pontianak,-0.0333,109.3333,85.98,70,75,13.8,ID,1647664297
Agadez,19.75,10.25,68.47,6,23,8.57,NE,1647664548
Turkmenabat,39.0733,63.5786,37.38,75,0,13.8,TM,1647664548
Tuatapere,-46.1333,167.6833,65.71,61,75,6.58,NZ,1647664548
Hualmay,-11.0964,-77.6139,69.94,85,31,7.78,PE,1647664549
Nizhniy,45.3926,39.2364,26.62,65,93,20.29,RU,1647664549
El Puerto de Santa María,36.5939,-6.233,53.26,88,20,6.91,ES,1647664495
Dudinka,69.4058,86.1778,24.62,88,89,14.72,RU,1647664549
Darovskoy,58.77,47.9564,25.72,97,99,5.57,RU,1647664549
Pachino,36.7186,15.0907,54.09,81,99,27.98,IT,1647664550
Lahān,26.7296,86.4951,95.27,21,27,6.24,NP,1647664550
Verkhniy,45.4806,37.7227,28.98,66,100,25.64,RU,1647664550
Ndioum,16.5129,-14.6471,73.8,21,57,7.52,SN,1647664550
Kidal,18.4411,1.4078,79.2,15,88,8.84,ML,1647664550
Clyde,41.3042,-82.9752,51.66,94,99,8.39,US,1647664551
Bucine,43.4764,11.6148,45.88,88,100,6.13,IT,1647664551
East,65.0,-15.0,29.95,98,100,5.01,IS,1647664551
Ketchikan,55.3422,-131.6461,39.67,93,100,4.61,US,1647664551
Katsuura,35.1333,140.3,57.22,75,96,8.57,JP,1647664328
Tulsīpur,28.131,82.2973,90.09,22,11,6.33,NP,1647664552
Phan,19.5539,99.7405,80.26,31,69,4.72,TH,1647664552
Kodinsk,58.6881,99.1844,19.71,81,100,10.02,RU,1647664552
Severo-Kuril'sk,50.6789,156.125,32.95,97,100,20.56,RU,1647664552
Yellowknife,62.456,-114.3525,14.52,79,75,6.91,CA,1647664553
Khanpur,28.6453,70.6567,91.63,19,0,6.49,PK,1647664553
Port,-7.0349,29.7638,69.87,77,72,4.74,CD,1647664495
Codrington,-38.2667,141.9667,78.67,34,16,2.28,AU,1647664554
Hong Kong,22.2855,114.1577,82.45,87,24,7.0,HK,1647664366
Birao,10.2849,22.7882,65.53,15,32,6.11,CF,1647664554
Bonavista,48.6499,-53.1147,31.15,94,100,18.05,CA,1647664555
Kloulklubed,7.0419,134.2556,82.9,76,100,13.62,PW,1647664555
Wahiawā,21.5028,-158.0236,75.52,69,75,6.91,US,1647664555
Kavieng,-2.5744,150.7967,86.04,61,25,13.44,PG,1647664556
Pauini,-7.7136,-66.9764,72.84,99,98,1.12,BR,1647664556
Vilhena,-12.7406,-60.1458,67.96,98,73,2.3,BR,1647664556
Pangoa,-12.1167,-73.0,68.49,88,28,2.82,PE,1647664556
Hazorasp,41.3194,61.0742,28.24,53,11,10.04,UZ,1647664556
San,13.3034,-4.8956,79.9,15,15,9.17,ML,1647664506
Opuwo,-18.0607,13.84,65.14,57,8,3.4,NA,1647664557
Baykit,61.67,96.37,21.07,83,100,9.71,RU,1647664557
Bredasdorp,-34.5322,20.0403,67.14,94,62,7.38,ZA,1647664557
Killybegs,54.6333,-8.45,46.11,80,2,13.0,IE,1647664557
Sakakah,29.9697,40.2064,44.17,39,0,2.17,SA,1647664558
Aykhal,66.0,111.5,8.98,87,100,18.72,RU,1647664558
Oktyabr'skiy,54.4815,53.471,24.78,94,100,2.44,RU,1647664558
Tarko-Sale,64.9225,77.785,24.69,91,99,17.72,RU,1647664558
Mackay,-21.15,149.2,87.67,74,70,16.11,AU,1647664300
Mys,62.0589,48.6201,27.12,95,96,7.87,RU,1647664559
Novo,22.7847,-82.2251,70.14,82,0,3.69,CU,1647664560
Vestmanna,62.1564,-7.1664,47.32,81,100,10.36,FO,1647664560
Ucluelet,48.9329,-125.5528,46.09,93,100,5.01,CA,1647664560
Cap,49.2718,-1.2104,47.82,68,0,14.47,FR,1647664561
Chajul,15.4853,-91.0342,60.84,94,3,2.71,GT,1647664561
Adrar,20.5022,-10.0711,62.6,35,63,9.04,MR,1647664531
Malakal,9.5334,31.6605,80.13,19,31,6.89,SS,1647664411
Ambanja,-13.6833,48.45,76.93,89,91,1.39,MG,1647664562
Ludvika,60.1496,15.1878,30.0,92,2,4.54,SE,1647664562
Piaçabuçu,-10.4056,-36.4344,76.53,77,38,4.61,BR,1647664562
Rovaniemi,66.5,25.7167,29.61,74,0,17.27,FI,1647664563
Labuhan,-6.8844,112.2051,86.2,69,100,8.55,ID,1647664564
Suez,29.9737,32.5263,51.4,76,8,7.29,EG,1647664411
Komatipoort,-25.4332,31.9548,62.06,79,9,4.63,ZA,1647664564
Burley,42.5357,-113.7928,43.3,57,0,5.75,US,1647664564
Bogorodskoye,56.55,37.8833,27.3,95,100,1.63,RU,1647664565
Kalmunai,7.4167,81.8167,84.47,68,8,6.06,LK,1647664565
Taltal,-25.4,-70.4833,66.99,80,19,1.77,CL,1647664565
Vostok,46.4856,135.8833,26.47,60,55,7.02,RU,1647664565
Along,28.1667,94.7667,92.71,23,57,2.62,IN,1647664566
Calvinia,-31.4707,19.776,67.26,78,100,8.23,ZA,1647664566
Urengoy,65.9667,78.3667,24.24,93,100,13.53,RU,1647664566
Urusha,54.05,122.9,16.88,56,82,3.04,RU,1647664566
San,13.3034,-4.8956,79.9,15,15,9.17,ML,1647664506
Lyngseidet,69.5763,20.2189,34.74,93,100,19.95,NO,1647664567
Tam,13.1339,12.1367,66.6,18,51,9.42,NE,1647664567
Vao,-22.6667,167.4833,77.77,72,60,2.21,NC,1647664567
Nioro,13.35,-15.75,72.3,30,0,7.38,GM,1647664567
Mnogovershinnyy,53.9353,139.9242,20.41,81,97,3.65,RU,1647664567
Tondon,10.3667,-13.35,68.07,80,99,1.1,GN,1647664568
Vanimo,-2.6741,141.3028,86.18,70,37,8.03,PG,1647664568
Padang,-0.9492,100.3543,86.05,70,89,4.72,ID,1647664568
Sennar,13.5691,33.5672,80.04,18,78,10.33,SD,1647664568
Mandera,3.9366,41.867,80.47,61,31,8.84,KE,1647664569
Medvedevo,56.6339,47.804,31.64,79,100,4.79,RU,1647664412
Half,6.3807,-10.6953,74.28,83,100,3.42,LR,1647664569
Ryōtsu-minato,38.0833,138.4333,44.06,77,100,7.18,JP,1647664376
Sinjār,36.3209,41.8754,45.0,56,88,3.56,IQ,1647664569
Palana,59.1167,159.9667,25.95,77,26,4.88,RU,1647664441
Pulaski,34.7668,-92.3001,49.32,72,100,18.41,US,1647664570
Shiroi,35.8,140.0667,65.86,39,70,6.24,JP,1647664570
Solntsevo,51.4185,36.7499,14.34,97,72,0.38,RU,1647664477
Pevek,69.7008,170.3133,-9.71,86,17,6.51,RU,1647664570
Smithers,54.7804,-127.1743,37.72,81,100,3.44,CA,1647664571
Wuwei,37.9281,102.6414,51.64,36,35,10.54,CN,1647664571
Cherskiy,68.75,161.3,8.22,82,4,6.08,RU,1647664571
Mitsamiouli,-11.3847,43.2844,80.89,78,20,4.61,KM,1647664571
Conakry,9.538,-13.6773,76.05,74,87,2.3,GN,1647664572
Richards,46.8361,-95.9123,29.75,86,0,0.0,US,1647664572
Peterhead,57.5058,-1.7981,41.45,91,25,19.26,GB,1647664573
Jalu,29.0331,21.5482,53.37,61,48,18.95,LY,1647664573
Neuquén,-38.9516,-68.0591,57.09,62,0,3.44,AR,1647664573
Murray,40.6669,-111.888,47.82,50,0,8.99,US,1647664573
Salalah,17.0151,54.0924,78.89,9,0,19.57,OM,1647664574
Lagos,6.5833,3.75,80.92,87,71,4.18,NG,1647664443
Anderson,34.5334,-82.6499,57.76,97,100,3.44,US,1647664574
Klaksvík,62.2266,-6.589,49.12,81,100,38.34,FO,1647664574
Coahuayana Viejo,18.7333,-103.6833,66.6,59,0,4.12,MX,1647664574
Guerrero,17.6667,-100.0,68.27,64,7,4.92,MX,1647664575
Campbell,38.9501,-84.3833,60.94,83,65,1.99,US,1647664575
Arman',59.7,150.1667,25.02,77,100,1.92,RU,1647664575
Sarh,9.1429,18.3923,71.51,43,29,0.0,TD,1647664575
Rongcheng,30.634,117.8517,56.34,76,83,7.94,CN,1647664575
Bandarbeyla,9.4942,50.8122,79.88,63,1,10.38,SO,1647664576
Morros,-9.4467,-46.3003,74.55,76,87,1.57,BR,1647664576
Ipanema,-30.1391,-51.2244,75.65,94,75,9.22,BR,1647664576
Kutum,14.2,24.6667,57.16,16,32,5.44,SD,1647664411
Touros,-5.1989,-35.4608,77.77,82,88,6.17,BR,1647664576
Leningradskiy,69.3833,178.4167,-7.94,79,0,3.49,RU,1647664577
Bajil,15.0584,43.2851,77.56,76,9,4.68,YE,1647664577
Lerik,38.7726,48.4128,31.64,99,100,6.11,AZ,1647664299
Ekhabi,53.5102,142.9671,29.8,94,100,6.15,RU,1647664577
Ponta,38.7333,-28.2667,47.08,61,99,25.05,PT,1647664578
Vila,42.0304,-8.1588,43.68,84,82,3.24,PT,1647664578
Ambulu,-8.345,113.6058,86.5,69,93,6.29,ID,1647664578
Ormara,25.2088,64.6357,82.98,44,1,7.9,PK,1647664578
Salamiyah,35.0113,37.0532,41.02,91,82,4.88,SY,1647664284
Brae,60.3964,-1.353,46.11,80,90,14.67,GB,1647664579
Shimoda,34.6667,138.95,61.16,63,87,22.01,JP,1647664579
Säkylä,61.0333,22.3333,26.11,99,63,1.92,FI,1647664579
Kuril'sk,45.2333,147.8833,29.66,88,100,14.07,RU,1647664580
Lompoc,34.6391,-120.4579,53.78,88,100,0.0,US,1647664580
Camacha,33.0833,-16.3333,56.62,58,75,4.61,PT,1647664580
Teya,60.3778,92.6267,21.54,85,100,10.02,RU,1647664580
Manaure,11.7751,-72.4445,77.85,76,3,17.56,CO,1647664581
Teknāf,20.8624,92.3058,88.52,47,37,10.74,BD,1647664581
Broome,42.2506,-75.833,60.66,61,0,8.05,US,1647664581
Takoradze,4.8845,-1.7554,79.7,86,99,7.52,GH,1647664581
Tshikapa,-6.4167,20.8,68.56,92,96,1.86,CD,1647664581
Yar-Sale,66.8333,70.8333,18.34,91,75,5.57,RU,1647664582
Cedar,41.2122,-92.5257,37.62,97,100,20.71,US,1647664582
Havelock,34.8791,-76.9013,69.78,82,0,12.66,US,1647664582
Caravelas,-17.7125,-39.2481,74.61,89,14,2.8,BR,1647664582
Hambantota,6.1241,81.1185,87.58,60,12,15.7,LK,1647664572
Qandala,11.472,49.8728,80.01,47,0,6.04,SO,1647664583
Oistins,13.0667,-59.5333,78.89,69,75,20.71,BB,1647664583
Yairipok,24.6667,94.0667,75.06,17,16,2.26,IN,1647664583
Belmonte,-15.8631,-38.8828,75.47,86,34,3.62,BR,1647664583
Grand,38.8755,-109.5012,38.39,29,15,2.24,US,1647664584
Bilma,18.6853,12.9164,67.68,5,61,5.93,NE,1647664584
Digby,44.6169,-65.7655,47.35,94,100,10.58,CA,1647664584
Santiago,-33.4569,-70.6483,74.17,39,0,3.44,CL,1647664584
Arinos,-15.9169,-46.1056,72.03,71,57,2.26,BR,1647664585
Novyy,45.0072,38.9819,27.99,81,75,17.9,RU,1647664585
Aykino,62.2248,49.9922,22.75,96,96,7.11,RU,1647664503
Sovetskaya,44.7769,41.1722,27.39,76,100,20.85,RU,1647664586
Eldorado,-23.7869,-54.2836,75.07,98,100,5.99,BR,1647664586
Salto,-31.3833,-57.9667,57.87,86,18,8.01,UY,1647664586
Liverpool,53.4106,-2.9779,46.65,86,2,10.36,GB,1647664484
Kawalu,-7.3817,108.2082,87.17,57,89,4.88,ID,1647664587
Noumea,-22.2763,166.4572,84.18,81,88,7.09,NC,1647664587
Kibala,9.1104,18.3463,71.55,43,32,0.0,TD,1647664587
Zaozyornoye,45.1582,33.2787,28.71,71,90,22.39,UA,1647664587
Grindavik,63.8424,-22.4338,32.47,100,100,6.91,IS,1647664587
Pacifica,37.6138,-122.4869,55.44,88,75,17.27,US,1647664588
Velsk,61.0701,42.0983,24.3,92,19,6.46,RU,1647664588
Pandan,14.0453,124.1694,83.64,79,77,6.64,PH,1647664588
Faanui,-16.4833,-151.75,82.53,68,2,13.82,PF,1647664588
Saurimo,-9.6608,20.3916,62.74,97,90,2.66,AO,1647664589
Egvekinot,66.3167,-179.1667,-14.49,85,0,1.36,RU,1647664589
Portland,45.5234,-122.6762,53.55,80,75,4.0,US,1647664589
Havøysund,70.9963,24.6622,37.04,68,100,23.62,NO,1647664589
El Puerto de Santa María,36.5939,-6.233,53.26,88,20,6.91,ES,1647664495
Siguiri,11.6667,-9.5,80.38,31,48,2.04,GN,1647664590
Avera,33.194,-82.5271,60.31,92,95,14.18,US,1647664590
